"","...1","Timestamp","ID","Age","Gender","Condition","ReactionTime","keypress","Stimulus","File","stimcolour","correct","congruency"
"1",0,"2021_Dec_13_1017","2537525673",20,"Female","1",2.86546141601866,"r","r","logfile_2537525673_2021_Dec_13_1017_1.csv","r",1,"0"
"2",1,"2021_Dec_13_1017","2537525673",20,"Female","1",2.68539662502008,"y","y","logfile_2537525673_2021_Dec_13_1017_1.csv","y",1,"1"
"3",7,"2021_Dec_13_1017","2537525673",20,"Female","1",0.847571209014859,"y","y","logfile_2537525673_2021_Dec_13_1017_1.csv","y",1,"1"
"4",9,"2021_Dec_13_1017","2537525673",20,"Female","1",1.65821199998027,"r","r","logfile_2537525673_2021_Dec_13_1017_1.csv","r",1,"0"
"5",10,"2021_Dec_13_1017","2537525673",20,"Female","1",1.07390695804497,"y","y","logfile_2537525673_2021_Dec_13_1017_1.csv","y",1,"1"
"6",12,"2021_Dec_13_1017","2537525673",20,"Female","1",1.20578129100613,"y","y","logfile_2537525673_2021_Dec_13_1017_1.csv","y",1,"1"
"7",14,"2021_Dec_13_1017","2537525673",20,"Female","1",1.11698183399858,"y","y","logfile_2537525673_2021_Dec_13_1017_1.csv","y",1,"1"
"8",15,"2021_Dec_13_1017","2537525673",20,"Female","1",3.03490704199066,"r","r","logfile_2537525673_2021_Dec_13_1017_1.csv","r",1,"0"
"9",16,"2021_Dec_13_1017","2537525673",20,"Female","1",1.91995975002646,"r","r","logfile_2537525673_2021_Dec_13_1017_1.csv","r",1,"0"
"10",18,"2021_Dec_13_1017","2537525673",20,"Female","1",1.80609983403701,"r","r","logfile_2537525673_2021_Dec_13_1017_1.csv","r",1,"0"
"11",20,"2021_Dec_13_1017","2537525673",20,"Female","1",3.01509879197692,"r","r","logfile_2537525673_2021_Dec_13_1017_1.csv","r",1,"0"
"12",24,"2021_Dec_13_1017","2537525673",20,"Female","1",1.47933054203168,"r","r","logfile_2537525673_2021_Dec_13_1017_1.csv","r",1,"0"
